Question,(a),(b),(c),(d),Correct Answer,Correct Option
What will be the correct answer for the folowing expression:  20**(-9)/(-19.8)*((-10.8)+4+(-13.6)/19),(A)0.,(B)9.,(C)2.,(D)3.,0.,(A)
What will be the correct answer for the folowing expression:  ((-1.2)-1.4)/(2.6+(-12.9))*11.5,(A)0.75,(B)2.54,(C)2.90,(D)5.31,2.90,(C)
What will be the correct answer for the folowing expression:  -14.3/4.2/(-11)/(floor(17/18+(-18)/(-2))),(A)4.91,(B)8.68,(C)5.31,(D)0.03,0.03,(D)
What will be the correct answer for the folowing expression:  floor(((-0.0)+19.5-(-13)/(-14.5))/((-18)-(-0.4))),(A)-7,(B)-6,(C)-2,(D)-9,-2,(C)
What will be the correct answer for the folowing expression:  (10+15+11)**(15*11.5)**(-7),(A)1.,(B)8.,(C)4.,(D)5.,1.,(A)
What will be the correct answer for the folowing expression:  6.5+17.4+(-12.5)+(-12.7)/16,(A)62.05,(B)59.10,(C)10.60,(D)41.66,10.60,(C)
What will be the correct answer for the folowing expression:  ceil(7.3-17+15/(-9.1)*(-18.7)),(A)76,(B)51,(C)36,(D)22,22,(D)
What will be the correct answer for the folowing expression:  (floor((-20)-(-1.4)*6.4))/(-15.3),(A)1.54,(B)0.78,(C)1.62,(D)5.56,0.78,(B)
What will be the correct answer for the folowing expression:  12.0**7**(1.5/(-16.8))+1*((-6)+2),(A)5.60,(B)9.02,(C)4.07,(D)8.43,4.07,(C)
What will be the correct answer for the folowing expression:  -3/0.2*((-8)+13)**((-11.7)/4.8),(A)-1.55,(B)-9.44,(C)-5.02,(D)-0.29,-0.29,(D)
What will be the correct answer for the folowing expression:  20*(-3.9)+0.7-(-14)/(-17)+20**(-15),(A)-30.88,(B)-44.93,(C)-85.89,(D)-78.12,-78.12,(D)
What will be the correct answer for the folowing expression:  (18-20*(-10))/floor(((-19)*(-19)*0.8)/(-16)*4.6),(A)-6.54,(B)-5.75,(C)-0.72,(D)-2.59,-2.59,(D)
What will be the correct answer for the folowing expression:  (11+12)/(-8)-2.5**(-7)+(-16.5)/3,(A)-8.37,(B)-9.44,(C)-6.39,(D)-0.32,-8.37,(A)
What will be the correct answer for the folowing expression:  -9+(-16)-(-12),(A)-36,(B)-09,(C)-88,(D)-13,-13,(D)
What will be the correct answer for the folowing expression:  -5.0/(ceil((-11)-5.2+(-7))),(A)9.04,(B)0.94,(C)1.12,(D)0.21,0.21,(D)
What will be the correct answer for the folowing expression:  (0+20)/19.2-1.9,(A)-0.98,(B)-9.21,(C)-2.68,(D)-0.85,-0.85,(D)
What will be the correct answer for the folowing expression:  -15-(-11)+(-7)*(-9.2)-(-10.0)/(-12.6),(A)22.60,(B)59.60,(C)86.13,(D)25.23,59.60,(B)
What will be the correct answer for the folowing expression:  0/(-11.2)*(-4.4)*(18.9-9*(-6)),(A)0.,(B)6.,(C)8.,(D)2.,0.,(A)
What will be the correct answer for the folowing expression:  (5-0)/((-17))+ceil(((-12)-18)/((-17))),(A)7.21,(B)7.33,(C)5.19,(D)1.70,1.70,(D)
What will be the correct answer for the folowing expression:  10/2/3.0/floor(8/(-2.9)),(A)-3.04,(B)-0.55,(C)-4.19,(D)-6.96,-0.55,(B)
What will be the correct answer for the folowing expression:  0.3**11/6-14/(-4.6)-13,(A)-9.95,(B)-1.69,(C)-5.75,(D)-0.13,-9.95,(A)
What will be the correct answer for the folowing expression:  floor((-1.1)/(-36.37)/(-16.53))+71.43,(A)70.4,(B)14.5,(C)83.1,(D)03.9,70.4,(A)
What will be the correct answer for the folowing expression:  ((-63.01)+(-4.89))*(-79.84)/(-45.95)*27.42,(A)-8544.28,(B)-3234.98,(C)-4554.37,(D)-5732.47,-3234.98,(B)
What will be the correct answer for the folowing expression:  71.96**(-58.42)/42.57/(-1.43),(A)-1.,(B)-8.,(C)-5.,(D)-0.,-0.,(D)
What will be the correct answer for the folowing expression:  (14.39-43.63*23.48)/59.13,(A)-68.41,(B)-37.13,(C)-17.08,(D)-76.40,-17.08,(C)
What will be the correct answer for the folowing expression:  ((-19.54)+58.66)**57.73**(-10.57),(A)8.,(B)1.,(C)9.,(D)2.,1.,(B)
What will be the correct answer for the folowing expression:  floor(12.28-22.08-43.56),(A)-57,(B)-54,(C)-26,(D)-23,-54,(B)
What will be the correct answer for the folowing expression:  95.74/(-25.34)/1.4+41.55,(A)32.15,(B)38.85,(C)23.70,(D)66.08,38.85,(B)
What will be the correct answer for the folowing expression:  -99.66/((-11.38)*(-13.94))**(51.33+60.66),(A)-0.,(B)-2.,(C)-1.,(D)-8.,-0.,(A)
What will be the correct answer for the folowing expression:  51.12**67.88**(-74.91)*54.53/43.56,(A)4.75,(B)4.71,(C)2.95,(D)1.25,1.25,(D)
What will be the correct answer for the folowing expression:  (83.4-(-51.12))/14.72*20.99*61.07,(A)29667.67,(B)33559.44,(C)51315.76,(D)11714.38,11714.38,(D)
What will be the correct answer for the folowing expression:  ceil((-29.42)/96.84/(-26.98))+17.73,(A)18.7,(B)70.1,(C)36.3,(D)28.0,18.7,(A)
What will be the correct answer for the folowing expression:  -90.67/69.0/6.66/(-42.95)*(-16.35),(A)-0.07,(B)-3.67,(C)-2.58,(D)-3.84,-0.07,(A)
What will be the correct answer for the folowing expression:  (79.99+(-94.99))/51.08*6.89,(A)-9.70,(B)-2.02,(C)-6.88,(D)-9.32,-2.02,(B)
What will be the correct answer for the folowing expression:  15.79/(-43.72)/62.28-(-66.82),(A)32.24,(B)67.65,(C)74.22,(D)66.81,66.81,(D)
